capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moveit_pose_x_mm,moveit_pose_y_mm,moveit_pose_z_mm,moveit_pose_qw,moveit_pose_qx,moveit_pose_qy,moveit_pose_qz,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786386187927,2.02067392724,-0.0814579739537,0.0414357479161,-1.98100808635,-0.00766990393943,-1.15521547955,-1.16309084487,-146.454428506,-62.9369758205,221.525420864,0.00752685588228,-0.0142766751765,0.999792712381,0.0124118997993,0.285359846618,0.608432337183,-0.297376164988,0.678194120812,-17.1817427317,79.752192688,-1124.47336019,0.19216799736,1333002,4,30,0.193279732908,-0.441569434078,-0.383654230067,-0.787698426739,89.7880859375,-119.689150238,-979.241381836,0.309023594856,1333002,4,30,-0.633633666236,0.738038606171,0.231794127158,-0.00888118398568,-58.4595435212,-257.632753611,50.1952895015,0.363901252248,1333002,4
2,1786386204578,1.96761797266,-0.0630146590963,0.0414357479161,-1.98100808635,-0.00920388472731,-1.15675988527,-1.20462980362,-149.194063438,-54.329551556,224.465378814,2.37746468947e-05,-0.00771286799949,0.999930064247,0.00896536207711,0.276865358042,0.615863930058,-0.296001341169,0.675603729413,-21.1321180344,82.7757843018,-1115.57302246,0.191572184364,1334004,4,30,0.193278928208,-0.441572793849,-0.383654537943,-0.787696590801,89.7848230998,-119.688970693,-979.24023234,0.313661236564,1334004,4,30,-0.63704501318,0.733647413946,0.235795520815,-0.0183192673701,-48.7323477867,-258.219675561,53.1877047843,0.367536764345,1334004,4
3,1786386283775,1.48253495937,0.0445713442388,0.0695528625735,-1.84406487221,-0.00920388472731,-1.44401934943,-1.68309706917,-142.375622693,21.9292639304,263.773672955,0.0247799990123,-0.00789348094072,0.999595081242,0.011546348533,0.283323353464,0.60489479131,-0.308952375451,0.677036630125,-68.4756960551,81.4550122579,-1039.08205566,0.190175870558,1338759,4,30,0.193215714748,-0.441537979056,-0.383733845409,-0.787692983664,89.8014834086,-119.65013682,-979.20509847,0.301500184337,1338759,4,30,-0.627083019605,0.745134688348,0.226560303429,-0.0145468777871,41.1498926224,-254.657129455,50.3649608593,0.356467702461,1338759,4
4,1786386322251,1.53559091395,-0.132177089812,0.0665931662938,-1.85028956377,-0.0107378655152,-1.24324660566,-1.50617187451,-179.021361778,16.9877395287,232.013677783,0.0155640075285,0.0543116503781,0.998289860469,0.0150120214495,0.235468031003,0.622604679309,-0.340591107429,0.664014997736,-36.6205137889,114.348803202,-1039.26232096,0.183477031688,1341072,4,30,0.193174992379,-0.44171613257,-0.38363309472,-0.787652162558,89.8010342916,-119.631696828,-979.195192464,0.303933050235,1341072,4,30,-0.62187882433,0.747287133016,0.221629430168,-0.0755583507113,25.0501668144,-255.013243561,93.1561962025,0.355019887024,1341072,4
5,1786386345991,2.09192049481,-0.233615321528,0.0458752923357,-1.97945191346,-0.00920388472731,-0.972975604432,-0.944626691471,-165.049229414,-85.9608047438,193.508728594,-0.00876413672331,0.0592277618208,0.998154572706,0.0101346495913,0.227286086254,0.633569720751,-0.332721114821,0.660474907695,12.6821264267,92.6836662292,-1141.82248128,0.180386785169,1342497,4,30,0.193060958987,-0.441699529228,-0.383579966576,-0.787715304685,89.7632514954,-119.637018585,-979.2231486,0.305912381411,1342497,4,30,-0.628608416662,0.738144192527,0.23028804169,-0.0834387643392,-88.6040446396,-254.106091118,70.989673622,0.355136279988,1342497,4
6,1786386364388,1.95852266616,-0.358107696815,0.0503148367553,-1.80827289579,-0.00920388472731,-1.07645078776,-1.05232028822,-199.912095319,-74.1149579975,191.941041765,0.0193053395082,0.0663683369338,0.997413145639,0.0197373915503,0.232396870782,0.620508355383,-0.352908751779,0.660618262137,12.9778092066,129.122691854,-1129.36902262,0.183420510093,1343601,4,30,0.192982267128,-0.441727539423,-0.383555927408,-0.787730585949,89.7428797404,-119.619029236,-979.214538574,0.313618448377,1343601,4,30,-0.61427612116,0.753784275116,0.218012197232,-0.0833354391502,-76.9741532457,-271.513508204,103.281574057,0.363317512219,1343601,4
7,1786386393690,1.83270425959,-0.536393073771,0.0503148367553,-1.88141302152,-0.0107378655152,-0.809268597972,-1.18001412436,-224.479838422,-50.1809295981,139.034251254,0.0131354691567,0.0663694681378,0.997583431766,0.0158066383347,0.226089338831,0.62564770223,-0.349000947025,0.660035531268,63.7052449544,154.8217453,-1100.04568685,0.192915220559,1345362,4,30,0.192884878116,-0.441762580173,-0.383523707142,-0.787750476111,89.7413454692,-119.602307892,-979.21361084,0.313765737414,1345362,4,30,-0.618871695661,0.748620726439,0.220668892255,-0.0887134276559,-78.4449058675,-242.428383951,160.192713602,0.368327599154,1345362,4
8,1786386411237,1.43705842687,-0.405752926864,0.113948306769,-1.96389018459,0.0521553467881,-0.85405636389,-1.49847947474,-207.763527592,34.7582869417,157.497376912,0.0181620069309,0.0732842954114,0.996995408564,0.0173121013277,0.221925499694,0.623454449206,-0.355425642578,0.660095625609,36.3051221212,141.147038778,-1013.32236532,0.183134840926,1346415,4,30,0.193010774617,-0.44186713453,-0.383519860797,-0.787662867398,89.7884577433,-119.590500641,-979.174043783,0.306681508819,1346415,4,30,-0.616270038637,0.751510374035,0.215909214707,-0.0939500303393,8.88110730012,-213.804103173,161.924584034,0.35720010892,1346415,4
9,1786386442654,1.18238984489,-0.462619814341,0.121347547469,-1.97945191346,0.0521553467881,-0.719693066135,-1.76002106685,-206.353503461,92.3469519039,141.732510885,-0.00858127617302,0.0679331358484,0.997432919273,0.0209528590876,0.207688784703,0.628119708439,-0.341186928565,0.667774273506,46.4810592651,138.871875,-953.405513509,0.173669096331,1348302,4,30,0.192892244689,-0.441868976304,-0.383594189506,-0.787654675284,89.8162648519,-119.559081014,-979.157509359,0.304686524471,1348302,4,30,-0.632583261914,0.737822461828,0.213528588882,-0.0993074684874,54.0036824102,-179.833455242,184.583842796,0.350706192153,1348302,4
10,1786386467545,1.53255914511,-0.0706993736202,0.10950876235,-1.97945191346,0.0690291354549,-1.12587177084,-1.50771035447,-166.865434914,11.72594359,222.097938736,-0.00740715382557,0.0216875295341,0.999504568941,0.0215731731833,0.24629933794,0.615937240911,-0.311086459971,0.680575613589,-25.8338212331,101.888400777,-1045.27388916,0.18583008498,1349799,4,30,0.193096335351,-0.441719639579,-0.383652344536,-0.787660106782,89.8025601705,-119.594266256,-979.18326416,0.304891781012,1349799,4,30,-0.641225287255,0.733865302876,0.218949241267,-0.0483019458034,13.8020550305,-242.804025369,87.4644142182,0.357059965009,1349799,4
11,1786386488405,1.96307031941,-0.17982231986,0.0976699772309,-1.97945191346,0.0690291354549,-1.02085218179,-1.08001292738,-167.095011196,-67.6182992115,203.149734386,-0.0102551619835,0.01896667016,0.999690185474,0.0124350369035,0.253435009455,0.620256374524,-0.306437642473,0.676127722491,1.39456106822,98.1165807088,-1125.58404134,0.189799770713,1351050,4,30,0.193019596792,-0.441768497654,-0.383599449252,-0.787677276724,89.7658017476,-119.596279907,-979.198486328,0.314942826827,1351050,4,30,-0.640112935683,0.732417428378,0.227938983625,-0.043173602154,-68.6725188689,-257.737677788,74.1112081546,0.367713117977,1351050,4
12,1786386514096,2.06160280648,-0.353496868101,0.0947102809512,-1.71334634963,0.0690291354549,-1.17220394248,-0.950780611286,-192.186571876,-106.187136672,206.625723893,0.0165980349393,0.0208571538636,0.99932667179,0.0252128423363,0.263723539918,0.603034473001,-0.323729073662,0.679704940199,1.63016204834,122.040948995,-1165.48426921,0.189795421064,1352595,4,30,0.192840072419,-0.441680159118,-0.383548897275,-0.787795396603,89.7323712667,-119.581281535,-979.186448161,0.30712240239,1352595,4,30,-0.626794389171,0.748503020782,0.213578530595,-0.0354433752897,-101.578364615,-290.027941301,80.0987439857,0.361035277925,1352595,4
13,1786386525215,2.06160280648,-0.355033811006,0.0947102809512,-1.71334634963,0.0690291354549,-1.17220394248,-0.950780611286,0,0,0,1,0,0,0,0.263850272045,0.602961351405,-0.323757557404,0.679707059458,1.66625550588,122.014910889,-1165.50754801,0.190538392464,1353261,4,30,0.19282164321,-0.441696297753,-0.383560752757,-0.787785087067,89.7291959127,-119.579693604,-979.184130859,0.306647146742,1353261,4,30,-0.626732146173,0.748566013822,0.213555013736,-0.0353552826613,-101.610977693,-289.998395595,80.0973778443,0.361022646946,1353261,4
